language,f_a,f_b,f_c,f_d,f_e,f_f,f_g,f_h,f_i,f_j,f_k,f_l,f_m,f_n,f_ñ,f_o,f_p,f_q,f_r,f_s,f_t,f_u,f_v,f_w,f_x,f_y,f_z,f_á,f_é,f_í,f_ó,f_ú,f_ü
Spanish,0.1159420289855072,0.0048309178743961,0.038647342995169,0.0579710144927536,0.1062801932367149,0.0048309178743961,0.0096618357487922,0.0048309178743961,0.0531400966183574,0.0,0.0,0.072463768115942,0.0144927536231884,0.0628019323671497,0.0,0.0338164251207729,0.0434782608695652,0.0096618357487922,0.0628019323671497,0.0289855072463768,0.0241545893719806,0.0289855072463768,0.0096618357487922,0.0,0.0,0.0048309178743961,0.0,0.0048309178743961,0.0144927536231884,0.0048309178743961,0.0144927536231884,0.0,0.0
English,0.0824742268041237,0.0051546391752577,0.0463917525773195,0.0257731958762886,0.1030927835051546,0.0154639175257731,0.0103092783505154,0.0412371134020618,0.0876288659793814,0.0051546391752577,0.0051546391752577,0.0206185567010309,0.0206185567010309,0.056701030927835,0.0,0.0412371134020618,0.0206185567010309,0.0,0.0773195876288659,0.0412371134020618,0.0979381443298969,0.0206185567010309,0.0,0.0154639175257731,0.0,0.0,0.0103092783505154,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0572519083969465,0.0076335877862595,0.0229007633587786,0.0305343511450381,0.1183206106870229,0.0114503816793893,0.0267175572519083,0.0229007633587786,0.0534351145038167,0.0,0.015267175572519,0.0229007633587786,0.0190839694656488,0.0801526717557251,0.0,0.049618320610687,0.0190839694656488,0.0038167938931297,0.0610687022900763,0.0801526717557251,0.0801526717557251,0.0114503816793893,0.0038167938931297,0.0038167938931297,0.0,0.0190839694656488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0952970297029703,0.0061881188118811,0.0334158415841584,0.0235148514851485,0.0841584158415841,0.0061881188118811,0.0123762376237623,0.0272277227722772,0.0594059405940594,0.0024752475247524,0.0235148514851485,0.0309405940594059,0.0185643564356435,0.0606435643564356,0.0,0.0445544554455445,0.0247524752475247,0.0,0.073019801980198,0.0792079207920792,0.0804455445544554,0.0136138613861386,0.0049504950495049,0.0086633663366336,0.0037128712871287,0.0049504950495049,0.0024752475247524,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0842696629213483,0.0112359550561797,0.0337078651685393,0.0561797752808988,0.0533707865168539,0.0140449438202247,0.0084269662921348,0.0308988764044943,0.0898876404494382,0.0,0.0056179775280898,0.0337078651685393,0.0168539325842696,0.0646067415730337,0.0,0.0674157303370786,0.0084269662921348,0.0,0.0617977528089887,0.0758426966292134,0.0870786516853932,0.0056179775280898,0.0056179775280898,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0788643533123028,0.0157728706624605,0.0315457413249211,0.028391167192429,0.0630914826498422,0.0252365930599369,0.0031545741324921,0.028391167192429,0.0694006309148265,0.0063091482649842,0.0252365930599369,0.028391167192429,0.0157728706624605,0.056782334384858,0.0,0.0914826498422713,0.0189274447949526,0.0,0.0473186119873817,0.0378548895899053,0.0820189274447949,0.0252365930599369,0.0189274447949526,0.0063091482649842,0.0,0.0252365930599369,0.0031545741324921,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0632688927943761,0.0105448154657293,0.0263620386643233,0.0175746924428822,0.0896309314586994,0.0228471001757469,0.0193321616871704,0.0492091388400703,0.0615114235500878,0.0052724077328646,0.0052724077328646,0.0333919156414762,0.015817223198594,0.0650263620386643,0.0,0.0615114235500878,0.0193321616871704,0.0,0.0808435852372583,0.0492091388400703,0.0685413005272407,0.0298769771528998,0.0087873462214411,0.0105448154657293,0.0,0.0123022847100175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.1002865329512893,0.0200573065902578,0.0286532951289398,0.0487106017191977,0.1146131805157593,0.0028653295128939,0.0028653295128939,0.0171919770773638,0.0458452722063037,0.0,0.0028653295128939,0.0544412607449856,0.0229226361031518,0.0573065902578796,0.0,0.0601719197707736,0.0229226361031518,0.0028653295128939,0.0487106017191977,0.0515759312320916,0.0229226361031518,0.0171919770773638,0.0,0.0,0.0,0.0028653295128939,0.0114613180515759,0.0,0.0,0.0028653295128939,0.0057306590257879,0.0028653295128939,0.0
English,0.0912052117263843,0.011400651465798,0.017915309446254,0.0293159609120521,0.0960912052117263,0.011400651465798,0.014657980456026,0.0504885993485342,0.0618892508143322,0.0,0.003257328990228,0.0407166123778501,0.0325732899022801,0.0602605863192182,0.0,0.0423452768729641,0.00814332247557,0.0,0.0521172638436482,0.0635179153094462,0.0423452768729641,0.022801302931596,0.014657980456026,0.022801302931596,0.001628664495114,0.0293159609120521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0555555555555555,0.006006006006006,0.0315315315315315,0.03003003003003,0.1111111111111111,0.021021021021021,0.0135135135135135,0.051051051051051,0.039039039039039,0.0,0.0045045045045045,0.0345345345345345,0.018018018018018,0.06006006006006,0.0,0.1006006006006006,0.006006006006006,0.0,0.045045045045045,0.0555555555555555,0.0825825825825825,0.0255255255255255,0.009009009009009,0.0105105105105105,0.0,0.0075075075075075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
